"Date","Open","High","Low","Close","Volume","Change"
1995-03-28,178.79,178.79,177.59,178.23,0,-0.117686617350377
1995-03-29,176.42,178.41,176.42,178.38,0,0.0841609156707612
1995-03-30,178.94,181.61,178.53,181.5,0,1.74907500840902
1995-03-31,181.07,181.07,178.26,178.52,0,-1.6418732782369
1995-04-03,177.6,179.13,177.36,178.92,0,0.224064530584789
1995-04-04,179.7,180.6,179.68,180.06,0,0.637156270959105
1995-04-05,180.81,180.88,179.51,180.53,0,0.261024103076757
1995-04-06,179.63,181.75,179.28,181.61,0,0.598238519913585
1995-04-07,181.55,183.3,181.54,183.3,0,0.93056549749464
1995-04-10,183.44,183.72,182.87,183.46,0,0.0872885979269045
1995-04-11,183.84,184.05,183.16,183.34,0,-0.0654093535375599
1995-04-12,183.27,183.75,182.95,183.75,0,0.223628231700657
1995-04-13,184.15,184.63,183.85,184.5,0,0.408163265306127
1995-04-18,183.55,184.05,183.09,184,0,-0.271002710027102
1995-04-19,183.17,183.85,183.08,183.48,0,-0.282608695652176
1995-04-20,183.87,184.58,183.81,184.21,0,0.397863527359932
1995-04-21,184.99,185.61,184.89,185.33,0,0.608001737147812
1995-04-24,184.29,185.51,184.29,185.42,0,0.0485620244968343
1995-04-25,186.51,186.84,185.47,185.7,0,0.151008521195117
1995-04-26,186.13,187.78,185.91,187.77,0,1.11470113085623
1995-04-27,188.27,189.06,188.03,188.56,0,0.420727485753836
1995-04-28,188.24,189.44,187.99,189.18,0,0.328807806533726
1995-05-01,189.74,191.18,189.63,190.78,0,0.845755365260592
1995-05-02,191.01,191.81,190.83,191.72,0,0.492714120977045
1995-05-03,191.77,192.94,191.77,192.54,0,0.42770707281452
1995-05-04,193.08,193.39,192.24,192.77,0,0.119455697517412
1995-05-08,192.66,192.78,192.4,192.4,0,-0.191938579654516
1995-05-09,192.03,192.4,191.66,192.33,0,-0.0363825363825288
1995-05-10,192.17,194.05,192.17,193.31,0,0.509540893256366
1995-05-11,192.76,195.03,192.57,194.62,0,0.677667994413111
1995-05-12,195.35,196.46,194.76,195.13,0,0.262049121364716
1995-05-15,195.44,195.91,194.75,194.92,0,-0.107620560651878
1995-05-16,194.84,194.94,194.14,194.45,0,-0.241124563923656
1995-05-17,194.25,194.31,192.57,193.22,0,-0.632553355618404
1995-05-18,193.21,193.77,192.56,192.77,0,-0.232895145430079
1995-05-19,191.05,191.23,189.95,190.51,0,-1.17238159464648
1995-05-22,191.04,193.48,190.92,193.14,0,1.38050496036952
1995-05-23,194.29,194.69,193.68,193.68,0,0.279589934762359
1995-05-24,194.79,195.75,194.56,195.36,0,0.867410161090465
1995-05-26,193.46,194.11,193.09,193.53,0,-0.936732186732192
1995-05-29,193.03,193.63,192.79,193.49,0,-0.0206686301865266
1995-05-30,193.98,194.61,193.73,194.46,0,0.501317897565756
1995-05-31,194.76,195.82,194.2,195.82,0,0.699372621618832
1995-06-01,198.07,198.31,196.57,197.37,0,0.791543254008786
1995-06-02,196.8,197.01,195.19,196.53,0,-0.42559659522724
1995-06-06,197.2,197.89,197,197.5,0,0.493563323665591
1995-06-07,197.61,197.96,196.91,197.25,0,-0.126582278481013
1995-06-08,197.47,198.1,197.04,197.68,0,0.217997465145747
1995-06-09,197.2,197.21,196.09,196.25,0,-0.723391339538648
1995-06-12,195.68,196.64,195.56,196.03,0,-0.112101910828022
1995-06-13,196.1,196.37,195.27,195.96,0,-0.0357088200785505
1995-06-14,196.59,197.02,195.04,195.38,0,-0.295978771177796
1995-06-15,195.56,196.62,195.3,196.42,0,0.5322960384891
1995-06-16,196.17,196.31,195.15,195.45,0,-0.493839731188273
1995-06-19,195.6,196.85,195.42,196.69,0,0.634433358915332
1995-06-20,197.4,197.45,196.83,197.06,0,0.188113274696233
1995-06-21,196.89,197.23,196.52,197.1,0,0.0202983862782835
1995-06-22,196.56,197.63,196.39,197.63,0,0.268899036022319
1995-06-23,197.58,197.92,196.69,197.36,0,-0.136618934372301
1995-06-26,197.12,198.49,196.87,198.31,0,0.481353871098489
1995-06-27,197.71,198.62,197.45,198.47,0,0.0806817608794308
1995-06-28,198.24,198.26,196.73,196.75,0,-0.86662971733763
1995-06-29,197.12,197.61,196.62,196.8,0,0.0254129606099163
1995-06-30,196.32,196.62,195.81,196.21,0,-0.299796747967485
1995-07-03,195.64,197.28,195.52,197.22,0,0.514754599663614
1995-07-04,197.59,198.5,197.55,198.37,0,0.58310516174831
1995-07-05,199.1,199.16,198.38,199.07,0,0.352875938902053
1995-07-06,199.09,200,199.02,199.68,0,0.306424875671873
1995-07-07,201.55,203,201.52,202.86,0,1.59254807692308
1995-07-10,204.95,207.24,204.69,206.86,0,1.97180321403925
1995-07-11,207,207.65,205.46,206.01,0,-0.410905926713734
1995-07-12,206.28,207.97,206.01,207.12,0,0.538808795689527
1995-07-13,209.06,209.54,207.79,208.22,0,0.531093086133638
1995-07-14,207.05,207.27,205.46,206.78,0,-0.691576217462297
1995-07-17,206.68,208.86,206.46,208.69,0,0.923687010349172
1995-07-18,208.19,209.16,207.65,208.17,0,-0.249173415113335
1995-07-19,207.06,207.28,205.38,206.19,0,-0.951145698227407
1995-07-20,203.83,206.18,203.81,205.08,0,-0.538338425723839
1995-07-21,206.64,207.15,206.13,206.21,0,0.55100448605423
1995-07-24,206.63,209,206.53,208.83,0,1.27054943989138
